title,rating,rating users,rating-user index
"Shawshank Redemption, The (1994)",4.43,317,280.86199999999997
Forrest Gump (1994),4.16,329,273.728
Pulp Fiction (1994),4.2,307,257.88
"Matrix, The (1999)",4.19,278,232.96400000000003
"Silence of the Lambs, The (1991)",4.16,279,232.12800000000001
Star Wars: Episode IV - A New Hope (1977),4.23,251,212.346
Braveheart (1995),4.03,237,191.022
Fight Club (1999),4.27,218,186.17199999999997
Schindler's List (1993),4.22,220,185.68
Jurassic Park (1993),3.75,238,178.5
Star Wars: Episode V - The Empire Strikes Back (1980),4.22,211,178.084
Terminator 2: Judgment Day (1991),3.97,224,177.85600000000002
"Usual Suspects, The (1995)",4.24,204,172.99200000000002
Toy Story (1995),3.92,215,168.56
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.21,200,168.4
American Beauty (1999),4.06,204,165.64799999999997
"Godfather, The (1972)",4.29,192,164.73600000000002
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.11,198,162.75600000000003
Star Wars: Episode VI - Return of the Jedi (1983),4.14,196,162.28799999999998
Seven (a.k.a. Se7en) (1995),3.98,203,161.588
Saving Private Ryan (1998),4.15,188,156.04000000000002
Apollo 13 (1995),3.85,201,154.77
"Lord of the Rings: The Return of the King, The (2003)",4.12,185,152.44
"Fugitive, The (1993)",3.99,190,151.62
"Lord of the Rings: The Two Towers, The (2002)",4.02,188,151.152
Fargo (1996),4.12,181,149.144
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.98,177,140.892
Independence Day (a.k.a. ID4) (1996),3.45,202,139.38000000000002
"Sixth Sense, The (1999)",3.89,179,139.262
Aladdin (1992),3.79,183,138.714
Back to the Future (1985),4.04,171,138.168
"Lion King, The (1994)",3.94,172,135.536
Gladiator (2000),3.94,170,133.95999999999998
Shrek (2001),3.87,170,131.57999999999998
Memento (2000),4.12,159,131.01600000000002
Batman (1989),3.43,189,129.654
"Dark Knight, The (2008)",4.24,149,126.352
Dances with Wolves (1990),3.84,164,125.952
True Lies (1994),3.5,178,124.6
Speed (1994),3.53,171,120.726
"Princess Bride, The (1987)",4.23,142,120.13200000000002
Inception (2010),4.07,143,116.402
Alien (1979),3.97,146,115.924
Men in Black (a.k.a. MIB) (1997),3.49,165,115.17
Good Will Hunting (1997),4.08,141,115.056
Mission: Impossible (1996),3.54,162,114.696
Indiana Jones and the Last Crusade (1989),4.05,140,113.4
Monty Python and the Holy Grail (1975),4.16,136,113.152
Groundhog Day (1993),3.94,143,112.684
