title,genres,rating
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"[4.0, 4.0, 4.5, 2.5, 4.5, 3.5, 4.0, 3.5, 3.0, 5.0, 3.0, 3.0, 5.0, 5.0, 3.0, 4.0, 5.0, 3.0, 3.0, 5.0, 5.0, 4.0, 4.0, 2.5, 5.0, 4.5, 0.5, 4.0, 2.5, 4.0, 3.0, 3.0, 4.0, 3.0, 5.0, 4.5, 4.0, 4.0, 3.0, 3.5, 4.0, 4.0, 3.0, 2.0, 3.0, 4.0, 4.0, 3.0, 4.0, 3.5, 5.0, 5.0, 2.0, 3.0, 4.0, 4.5, 4.0, 4.0, 5.0, 3.5, 4.5, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 3.5, 5.0, 4.0, 5.0, 3.5, 3.0, 3.0, 4.0, 3.5, 5.0, 3.5, 3.5, 5.0, 3.5, 3.0, 5.0, 4.0, 5.0, 5.0, 4.0, 4.5, 4.5, 4.0, 4.0, 2.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 4.0, 3.0, 4.5, 4.5, 3.0, 4.5, 4.0, 4.0, 4.0, 3.0, 2.0, 5.0, 4.0, 3.0, 3.5, 3.5, 5.0, 4.0, 4.0, 3.5, 4.0, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 3.0, 3.0, 4.5, 5.0, 3.5, 4.5, 4.0, 5.0, 3.0, 5.0, 4.0, 3.5, 5.0, 2.0, 4.0, 4.0, 4.0, 2.5, 4.0, 4.0, 4.5, 4.0, 5.0, 5.0, 5.0, 5.0, 4.5, 1.5, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.5, 4.5, 3.5, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 2.5, 3.0, 5.0, 4.0, 3.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.5, 3.5, 4.0, 4.0, 5.0, 4.0, 3.0, 5.0, 5.0, 4.0, 4.0, 4.0, 3.0, 2.5, 4.0, 4.0, 3.0, 4.0, 2.5, 4.0, 2.5, 3.0, 5.0]"
Jumanji (1995),Adventure|Children|Fantasy,"[4.0, 4.0, 3.0, 3.0, 3.0, 3.5, 4.0, 4.5, 4.0, 2.5, 3.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 1.5, 3.0, 4.0, 4.0, 3.0, 3.5, 3.0, 1.0, 2.0, 4.0, 4.0, 3.5, 4.0, 4.0, 2.0, 2.5, 3.5, 2.5, 3.0, 2.5, 4.0, 5.0, 4.0, 2.0, 3.5, 4.0, 4.0, 2.0, 3.0, 0.5, 3.0, 4.0, 3.5, 2.5, 3.0, 3.5, 5.0, 3.0, 4.0, 1.5, 3.0, 4.0, 3.0, 3.5, 3.0, 5.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.5, 4.0, 2.5, 4.0, 3.0, 5.0, 3.0, 4.0, 3.0, 3.0, 4.5, 4.0, 4.0, 3.0, 4.5, 4.0, 2.5, 2.5, 2.5, 3.0, 3.0, 3.0, 4.5, 3.5, 4.0, 4.5, 4.0, 4.0, 2.5, 4.0, 3.5, 4.5, 4.0, 2.5, 4.0, 4.0, 2.5, 4.0, 4.0, 5.0, 3.5, 2.0]"
Grumpier Old Men (1995),Comedy|Romance,"[4.0, 5.0, 3.0, 3.0, 4.0, 5.0, 3.0, 4.0, 3.0, 3.5, 2.0, 3.0, 3.5, 5.0, 3.5, 3.0, 3.0, 3.0, 5.0, 4.0, 1.0, 3.5, 4.0, 4.0, 3.0, 4.0, 2.5, 1.0, 3.0, 3.5, 0.5, 3.0, 3.0, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 2.5, 4.0, 5.0, 3.0, 1.0, 5.0, 3.0, 3.0, 4.0, 1.5, 2.0]"
Waiting to Exhale (1995),Comedy|Drama|Romance,"[3.0, 3.0, 3.0, 3.0, 1.0, 2.0, 1.5]"
Father of the Bride Part II (1995),Comedy,"[5.0, 3.0, 5.0, 3.0, 4.0, 4.0, 2.0, 3.0, 4.0, 4.0, 3.5, 3.0, 4.0, 3.0, 4.5, 3.0, 5.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 4.0, 3.0, 4.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.5, 2.5, 2.0, 0.5, 3.0, 3.0, 1.5, 3.0, 3.0, 2.0, 2.5, 3.0]"
Heat (1995),Action|Crime|Thriller,"[4.0, 4.0, 5.0, 4.0, 4.0, 4.5, 3.5, 3.0, 3.0, 4.0, 3.0, 4.5, 4.5, 4.0, 4.0, 3.5, 4.0, 5.0, 3.0, 4.0, 3.0, 4.5, 3.0, 5.0, 5.0, 4.0, 2.0, 3.5, 3.0, 4.5, 4.0, 4.0, 4.0, 5.0, 2.0, 3.5, 3.5, 5.0, 5.0, 4.0, 5.0, 3.0, 4.0, 4.0, 4.5, 3.0, 5.0, 3.5, 1.0, 4.0, 3.0, 3.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.0, 3.0, 5.0, 4.0, 5.0, 3.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 3.0, 3.0, 3.0, 4.0, 5.0, 3.0, 4.0, 3.0, 4.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.5, 4.0, 4.0, 5.0, 3.5, 3.0, 3.0, 4.5, 3.0, 4.0, 3.0, 5.0]"
Sabrina (1995),Comedy|Romance,"[4.0, 3.0, 2.0, 4.0, 4.0, 1.0, 3.0, 5.0, 3.0, 4.0, 5.0, 2.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.5, 1.0, 3.0, 3.0, 4.0, 3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 4.5, 3.5, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 4.0, 1.0, 3.0, 3.0, 2.0, 4.0, 4.0, 1.0, 2.5, 3.5, 2.5]"
Tom and Huck (1995),Adventure|Children,"[3.0, 1.0, 5.0, 3.0, 2.0, 3.0, 3.0, 3.0]"
Sudden Death (1995),Action,"[4.0, 3.0, 3.0, 2.0, 3.0, 5.0, 3.0, 3.0, 3.0, 3.0, 2.0, 3.0, 4.0, 2.5, 5.0, 1.5]"
GoldenEye (1995),Action|Adventure|Thriller,"[3.0, 2.0, 3.0, 2.0, 5.0, 3.0, 4.0, 5.0, 5.0, 4.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.5, 1.0, 3.5, 3.0, 3.5, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 5.0, 3.0, 1.0, 4.5, 3.0, 3.0, 3.0, 5.0, 4.0, 2.0, 3.5, 4.0, 5.0, 4.0, 4.5, 4.0, 2.0, 4.0, 4.5, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 5.0, 5.0, 3.5, 2.0, 4.0, 3.5, 4.0, 3.0, 3.5, 3.0, 4.0, 4.0, 2.5, 4.0, 3.0, 4.0, 3.0, 3.5, 4.0, 4.0, 4.0, 3.0, 3.5, 3.5, 3.0, 3.0, 4.5, 5.0, 3.0, 3.0, 3.5, 3.0, 3.0, 4.5, 3.0, 3.0, 3.5, 3.0, 3.5, 4.0, 4.5, 3.0, 3.0, 4.0, 4.0, 2.0, 4.0, 3.0, 2.0, 3.0, 3.0, 4.0, 2.0, 4.0, 4.0, 2.5, 3.0, 4.0, 0.5, 4.0, 4.5, 4.0, 4.0, 4.0, 4.0, 4.5, 3.0, 3.0, 4.0, 3.5, 4.5, 3.5, 5.0, 3.0, 3.5, 3.0, 3.0, 3.5, 3.0, 4.0, 4.0]"
