userId,title,tag
336,Toy Story (1995),pixar
474,Toy Story (1995),pixar
567,Toy Story (1995),fun
62,Jumanji (1995),fantasy
62,Jumanji (1995),magic board game
62,Jumanji (1995),Robin Williams
474,Jumanji (1995),game
289,Grumpier Old Men (1995),moldy
289,Grumpier Old Men (1995),old
474,Father of the Bride Part II (1995),pregnancy
474,Father of the Bride Part II (1995),remake
474,Sabrina (1995),remake
474,"American President, The (1995)",politics
474,"American President, The (1995)",president
474,Nixon (1995),politics
474,Nixon (1995),president
474,Casino (1995),Mafia
474,Sense and Sensibility (1995),Jane Austen
474,Get Shorty (1995),Hollywood
474,Copycat (1995),serial killer
474,Leaving Las Vegas (1995),alcoholism
474,Othello (1995),Shakespeare
474,Persuasion (1995),In Netflix queue
474,Persuasion (1995),Jane Austen
474,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",kidnapping
474,Dangerous Minds (1995),high school
474,Dangerous Minds (1995),teacher
424,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),time travel
474,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),time travel
477,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Brad Pitt
477,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Bruce Willis
477,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),mindfuck
477,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Post apocalyptic
477,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),post-apocalyptic
477,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),remake
477,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),time travel
477,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),twist ending
474,Babe (1995),Animal movie
474,Babe (1995),pigs
477,Babe (1995),villain nonexistent or not needed for good story
474,Dead Man Walking (1995),death penalty
474,Dead Man Walking (1995),Nun
474,It Takes Two (1995),twins
357,Clueless (1995),chick flick
357,Clueless (1995),funny
357,Clueless (1995),Paul Rudd
357,Clueless (1995),quotable
357,Clueless (1995),seen more than once
474,Clueless (1995),Emma
474,Clueless (1995),Jane Austen
474,"Cry, the Beloved Country (1995)",In Netflix queue
474,"Cry, the Beloved Country (1995)",South Africa
474,Richard III (1995),Shakespeare
474,Restoration (1995),England
474,To Die For (1995),Journalism
474,How to Make an American Quilt (1995),wedding
424,Seven (a.k.a. Se7en) (1995),mystery
424,Seven (a.k.a. Se7en) (1995),twist ending
474,Seven (a.k.a. Se7en) (1995),serial killer
424,"Usual Suspects, The (1995)",mindfuck
424,"Usual Suspects, The (1995)",suspense
424,"Usual Suspects, The (1995)",thriller
424,"Usual Suspects, The (1995)",tricky
424,"Usual Suspects, The (1995)",twist ending
474,"Usual Suspects, The (1995)",heist
474,Mighty Aphrodite (1995),adoption
474,Mighty Aphrodite (1995),prostitution
474,"Postman, The (Postino, Il) (1994)",writing
474,Mr. Holland's Opus (1995),music
474,Mary Reilly (1996),Jekyll and Hyde
474,In the Bleak Midwinter (1995),theater
474,Bottle Rocket (1996),crime
567,Bottle Rocket (1996),off-beat comedy
567,Bottle Rocket (1996),quirky
167,Happy Gilmore (1996),test tag
474,Happy Gilmore (1996),golf
477,Happy Gilmore (1996),Adam Sandler
474,Muppet Treasure Island (1996),muppets
62,Braveheart (1995),beautiful scenery
62,Braveheart (1995),epic
62,Braveheart (1995),historical
62,Braveheart (1995),inspirational
62,Braveheart (1995),Medieval
62,Braveheart (1995),mel gibson
62,Braveheart (1995),Oscar (Best Cinematography)
62,Braveheart (1995),revenge
62,Braveheart (1995),sword fight
474,Braveheart (1995),Scotland
474,Taxi Driver (1976),assassination
474,Anne Frank Remembered (1995),Holocaust
474,Boomerang (1992),dating
474,Up Close and Personal (1996),journalism
424,"Basketball Diaries, The (1995)",addiction
424,"Basketball Diaries, The (1995)",heroin
424,"Basketball Diaries, The (1995)",Leonardo DiCaprio
424,"Basketball Diaries, The (1995)",Mark Wahlberg
474,Apollo 13 (1995),moon
474,Apollo 13 (1995),NASA
474,Apollo 13 (1995),space
336,Batman Forever (1995),superhero
474,Batman Forever (1995),superhero
474,Congo (1995),Michael Crichton
474,Crimson Tide (1995),submarine
474,Crumb (1994),In Netflix queue
424,Kids (1995),controversial
424,Kids (1995),New York City
424,Kids (1995),Nudity (Full Frontal)
474,"Net, The (1995)",computers
474,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Made me cry
474,Before Sunrise (1995),generation X
474,Billy Madison (1995),school
477,Billy Madison (1995),Adam Sandler
477,Billy Madison (1995),stop looking at me swan
474,Circle of Friends (1995),Ireland
424,Clerks (1994),cynical
424,Clerks (1994),hilarious
424,Clerks (1994),independent film
424,Clerks (1994),quirky
424,Clerks (1994),witty
474,Clerks (1994),generation X
474,Don Juan DeMarco (1995),mental illness
474,Don Juan DeMarco (1995),psychology
474,Dolores Claiborne (1995),Stephen King
474,Eat Drink Man Woman (Yin shi nan nu) (1994),In Netflix queue
474,Ed Wood (1994),movie business
474,Forget Paris (1995),basketball
474,Forget Paris (1995),France
474,Forget Paris (1995),infertility
474,Hoop Dreams (1994),basketball
474,Heavenly Creatures (1994),Australia
573,Houseguest (1994),bad
573,Houseguest (1994),Sinbad
474,Immortal Beloved (1994),Beethoven
474,I.Q. (1994),Einstein
474,Just Cause (1995),court
63,Star Wars: Episode IV - A New Hope (1977),classic
63,Star Wars: Episode IV - A New Hope (1977),space action
76,Star Wars: Episode IV - A New Hope (1977),action
76,Star Wars: Episode IV - A New Hope (1977),sci-fi
103,Star Wars: Episode IV - A New Hope (1977),EPIC
103,Star Wars: Episode IV - A New Hope (1977),great soundtrack
112,Star Wars: Episode IV - A New Hope (1977),classic sci-fi
112,Star Wars: Episode IV - A New Hope (1977),engrossing adventure
112,Star Wars: Episode IV - A New Hope (1977),EPIC
